X..Loci.Detected,Index,Sample.ID,Sample.Group,Sentrix.Barcode,Sample.Section,Detected.CpG..0.01.,Detected.CpG..0.05.,Signal.Average.GRN,Signal.Average.RED,Signal.P05.GRN,Signal.P05.RED,Signal.P25.GRN,Signal.P25.RED,Signal.P50.GRN,Signal.P50.RED,Signal.P75.GRN,Signal.P75.RED,Signal.P95.GRN,Signal.P95.RED,Sample_Well,Sample_Plate,Pool_ID
99.92932,162,8338411dc3e181e9,Default Group,2.04843E+11,R02C01,865121,865306,3176.086,3977.395,197,272,639,779,2294,2003,5130,5763,8863,13751,B09,Nair2_Sample_011,NA
99.94769,163,54d7528cf40ac6d9,Default Group,2.04843E+11,R03C01,865071,865465,3024.149,3888.515,193,273,612,681,1923,1777,4765,5344,9124,14392,C09,Nair2_Sample_011,NA
99.92886,164,fc2cd75f5da927b7,Default Group,2.04843E+11,R04C01,864964,865302,3399.564,4236.957,222,305,690,787,2386,1995,5472,5970,9621,15212,D09,Nair2_Sample_011,NA
99.94607,165,6d1c197e00baee76,Default Group,2.04843E+11,R05C01,865176,865451,3249.968,4303.477,231,310,684,820,2179,2131,5179,6173,9421,15089,E09,Nair2_Sample_011,NA
99.95207,166,77783e7f7a60ed10,Default Group,2.04843E+11,R06C01,865290,865503,3359.366,4414.282,237,316,712,848,2289,2198,5371,6341,9621,15428,F09,Nair2_Sample_011,NA
99.94907,167,ed74e5233638d6c1,Default Group,2.04843E+11,R07C01,865144,865477,3461.631,4346.024,258,334,735,805,2330,2014,5538,6022,9960,15833,G09,Nair2_Sample_011,NA
99.94965,168,6018a6f1e1818be0,Default Group,2.04843E+11,R08C01,865064,865482,3336.846,4155.405,250,327,709,746,2165,1849,5295,5620,9831,15532,H09,Nair2_Sample_011,NA
99.95069,169,c87f214d2bd110db,Default Group,2.04848E+11,R01C01,865051,865491,2861.6,3836.962,166,248,563,663,1814,1779,4541,5362,8635,14027,A10,Nair2_Sample_011,NA
99.95924,170,3a38b68167d708ae,Default Group,2.04848E+11,R02C01,865335,865565,3076.664,4065.986,193,274,624,754,2121,1958,4937,5763,8814,14501,B10,Nair2_Sample_011,NA
99.95045,171,24cff5b4a1cc33c8,Default Group,2.04848E+11,R03C01,865254,865489,3364.55,4377.935,199,291,664,848,2469,2177,5459,6330,9294,15227,C10,Nair2_Sample_011,NA
99.94942,172,4b13681886881a98,Default Group,2.04848E+11,R04C01,865179,865480,3249.864,4341.18,197,288,656,788,2240,2058,5225,6135,9310,15604,D10,Nair2_Sample_011,NA
99.89272,173,17221ac3da4a04bd,Default Group,2.04848E+11,R05C01,864522,864989,3227.323,4540.997,224,339,681,863,2120,2210,5117,6417,9477,16142,E10,Nair2_Sample_011,NA
99.90184,174,f2149bfb7577e8b0,Default Group,2.04848E+11,R06C01,864592,865068,3118.709,4589.057,215,329,657,865,2092,2226,4963,6501,9051,16321,F10,Nair2_Sample_011,NA
99.92032,175,29d302490b495a18,Default Group,2.04848E+11,R07C01,864656,865228,3258.49,4546.853,264,397,715,864,2154,2056,5163,6154,9476,16796,G10,Nair2_Sample_011,NA
99.93383,176,41d248a6ec3b87e2,Default Group,2.04848E+11,R08C01,865023,865345,2990.543,4203.249,222,341,632,763,1975,1839,4723,5613,8790,15885,H10,Nair2_Sample_011,NA
99.93741,177,b2d338fdda620b83,Default Group,2.04843E+11,R01C01,865062,865376,2931.8,3456.806,148,222,552,632,2129,1633,4796,4990,8149,12226,A11,Nair2_Sample_011,NA
99.92713,178,a0eb14f5a8395a63,Default Group,2.04843E+11,R02C01,865064,865287,3016.419,3741.948,196,276,621,706,2163,1759,4860,5268,8428,13422,B11,Nair2_Sample_011,NA
99.91997,179,13969fce852b59a2,Default Group,2.04843E+11,R03C01,864953,865225,3242.763,4116.504,211,296,687,817,2315,2076,5197,5919,9096,14265,C11,Nair2_Sample_011,NA
99.92089,180,a7e1ca56bfd75e11,Default Group,2.04843E+11,R04C01,864724,865233,3108.253,4141.497,188,278,644,764,2079,2007,4937,5864,9094,14792,D11,Nair2_Sample_011,NA
99.91535,181,920357c92f17557a,Default Group,2.04843E+11,R05C01,864740,865185,3276.846,4353.653,206,313,686,831,2276,2115,5245,6156,9341,15459,E11,Nair2_Sample_011,NA
99.93302,182,67108397ce68c889,Default Group,2.04843E+11,R06C01,864937,865338,3329.085,4601.251,210,330,715,882,2394,2226,5344,6570,9275,16216,F11,Nair2_Sample_011,NA
99.91212,183,82273c549c1d8057,Default Group,2.04843E+11,R07C01,864753,865157,3260.73,4570.254,216,338,682,885,2324,2232,5229,6529,9160,16092,G11,Nair2_Sample_011,NA
99.92979,184,5af2bcf73b8d9711,Default Group,2.04843E+11,R08C01,864999,865310,3188.642,4125.152,188,278,641,737,2160,1918,5077,5822,9298,14931,H11,Nair2_Sample_011,NA
99.96639,185,c3813c448a8c010e,Default Group,2.04848E+11,R01C01,865461,865627,2730.071,3569.835,167,238,563,663,1937,1709,4403,5024,7672,12791,A12,Nair2_Sample_011,NA
99.92147,186,ced2a6edd40e94fc,Default Group,2.04848E+11,R02C01,865073,865238,3244.931,3838.697,203,259,678,709,2374,1813,5274,5437,8895,13720,B12,Nair2_Sample_011,NA
99.93037,187,98dda79769e72a6e,Default Group,2.04848E+11,R03C01,864949,865315,3161.238,4018.909,206,267,678,738,2138,1946,5052,5704,9100,14311,C12,Nair2_Sample_011,NA
99.92574,188,142b04fbd0b7b371,Default Group,2.04848E+11,R04C01,864904,865275,3411.544,4199.779,209,280,711,771,2429,1993,5519,5935,9530,15042,D12,Nair2_Sample_011,NA
99.96397,189,d769d0c1d8947e78,Default Group,2.04848E+11,R05C01,865443,865606,3303.559,3922.858,200,256,683,670,2292,1737,5315,5404,9404,14595,E12,Nair2_Sample_011,NA
99.9515,190,561e4c6a66f8b1e7,Default Group,2.04848E+11,R06C01,865319,865498,3463.23,4311.876,233,303,733,754,2400,1918,5595,5970,9777,15899,F12,Nair2_Sample_011,NA
99.92205,191,6d3c948c3d33ebfd,Default Group,2.04848E+11,R07C01,864829,865243,3266.404,4361.936,225,301,702,771,2173,1997,5201,6068,9490,15988,G12,Nair2_Sample_011,NA
99.90715,192,26a41c6fb1b411b7,Default Group,2.04848E+11,R08C01,864844,865114,3193.701,4355.308,231,326,692,773,2141,1931,5084,5892,9229,16317,H12,Nair2_Sample_011,NA
